sno,Hotel_Name,wifi_box,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast Cuisine1,Breakfast Cuisine2,Breakfast Cuisine3
198,Candeo Hotels Ueno Park,yes,yes,yes,no,no,yes,yes,no,no,no
199,Sotetsu Fresa Inn Tokyo Kinshicho,yes,no,yes,no,no,yes,yes,Asian,no,no
200,the b suidobashi,yes,no,yes,no,no,yes,yes,American,no,no
201,JR-East Hotel Mets Koenji,yes,no,yes,no,no,no,yes,American,no,no
202,GLOU Higashi Shinjuku,yes,no,yes,no,no,no,no,no,no,no
203,Hotel Monte Hermana Tokyo,yes,no,yes,no,no,yes,yes,Continental,no,no
204,Hotel Wing International Tokyo Akabane,yes,no,yes,no,no,yes,yes,American,no,no
205,Hotel Amanek Asakusa Ekimae,yes,no,yes,no,no,yes,yes,no,no,no
206,Domo Hotel,yes,no,yes,no,no,yes,yes,no,no,no
207,Dormy Inn Korakuen,yes,no,yes,no,no,yes,yes,Buffet,no,no
208,Rihga Royal Hotel Tokyo,yes,no,yes,no,yes,yes,yes,no,no,no
209,APA Hotel Kanda Ekimae,yes,no,yes,no,no,yes,yes,no,no,no
210,APA Hotel Asakusa Kaminarimon,yes,no,yes,no,no,yes,yes,Vegetarian, Vegan, Halal
211,COGO Ryogoku,yes,yes,yes,no,no,yes,yes,no,no,no
212,APA Hotel Ginza Kyobashi Tokyo-Eki Yaesu Minami-guchi,yes,no,yes,no,no,yes,yes,no,no,no
213,Sotetsu Fresa Inn Kanda-Otemachi,yes,no,yes,no,no,yes,yes,Buffet,no,no
214,Onyado Nono Asakusa Natural Hot Spring,yes,no,yes,no,no,yes,yes,Asian,no,no
215,Oak Hotel Edo,yes,yes,yes,no,no,yes,yes,no,no,no
216,Shinagawa Prince Hotel,no,no,yes,yes,yes,yes,yes,Buffet,no,no
217,Miyako Shinjuku Hotel 都-新宿-,yes,no,yes,no,no,no,no,no,no,no
218,&AND HOSTEL MINAMISENJU,yes,no,yes,no,no,yes,yes,no,no,no
219,Fujiterrace Yoga,yes,no,no,no,no,yes,yes,no,no,no
220,Asakusa Hotel Hatago,yes,no,yes,no,no,yes,yes,no,no,no
221,APA Hotel Asakusa Kaminarimon Minami,yes,no,yes,no,no,yes,yes,Asian,no,no
222,Lucky Hostel,yes,no,yes,no,no,yes,no,no,no,no
223,the b shimbashi toranomon,yes,no,yes,no,no,yes,yes,Breakfast to go,no,no
224,Premier Hotel Cabin Shinjuku,yes,no,yes,no,no,yes,yes,Asian, American,no
225,Ginza Capital Hotel Moegi,yes,no,yes,no,no,yes,yes,no,no,no
226,Andon Ryokan,yes,yes,yes,no,yes,yes,no,Continental, Vegetarian, Vegan
227,JR-East Hotel Mets Koenji,yes,no,yes,no,no,no,yes,American,no,no
228,GLOU Higashi Shinjuku,yes,no,yes,no,no,no,no,no,no,no
229,Hotel Monte Hermana Tokyo,yes,no,yes,no,no,yes,yes,Continental,no,no
230,Hotel Wing International Tokyo Akabane,yes,no,yes,no,no,yes,yes,American,no,no
231,Hotel Amanek Asakusa Ekimae,yes,no,yes,no,no,yes,yes,no,no,no
232,Domo Hotel,yes,no,yes,no,no,yes,yes,no,no,no
233,Dormy Inn Korakuen,yes,no,yes,no,no,yes,yes,Buffet,no,no
234,Rihga Royal Hotel Tokyo,yes,no,yes,no,yes,yes,yes,no,no,no
235,APA Hotel Kanda Ekimae,yes,no,yes,no,no,yes,yes,no,no,no
236,APA Hotel Asakusa Kaminarimon,yes,no,yes,no,no,yes,yes,Vegetarian, Vegan, Halal
237,COGO Ryogoku,yes,yes,yes,no,no,yes,yes,no,no,no
238,APA Hotel Ginza Kyobashi Tokyo-Eki Yaesu Minami-guchi,yes,no,yes,no,no,yes,yes,no,no,no
239,Sotetsu Fresa Inn Kanda-Otemachi,yes,no,yes,no,no,yes,yes,Buffet,no,no
240,Onyado Nono Asakusa Natural Hot Spring,yes,no,yes,no,no,yes,yes,Asian,no,no
241,Oak Hotel Edo,yes,yes,yes,no,no,yes,yes,no,no,no
242,Shinagawa Prince Hotel,no,no,yes,yes,yes,yes,yes,Buffet,no,no
243,Miyako Shinjuku Hotel 都-新宿-,yes,no,yes,no,no,no,no,no,no,no
244,&AND HOSTEL MINAMISENJU,yes,no,yes,no,no,yes,yes,no,no,no
245,Fujiterrace Yoga,yes,no,no,no,no,yes,yes,no,no,no
246,Asakusa Hotel Hatago,yes,no,yes,no,no,yes,yes,no,no,no
247,APA Hotel Asakusa Kaminarimon Minami,yes,no,yes,no,no,yes,yes,Asian,no,no
248,Lucky Hostel,yes,no,yes,no,no,yes,no,no,no,no
249,the b shimbashi toranomon,yes,no,yes,no,no,yes,yes,Breakfast to go,no,no
250,Premier Hotel Cabin Shinjuku,yes,no,yes,no,no,yes,yes,Asian, American,no
251,Ginza Capital Hotel Moegi,yes,no,yes,no,no,yes,yes,no,no,no
252,Andon Ryokan,yes,yes,yes,no,yes,yes,no,Continental, Vegetarian, Vegan
253,APA Hotel & Resort Tokyo Bay Shiomi,yes,no,yes,no,no,yes,yes,American,no,no
254,HOTEL MYSTAYS Ueno East,yes,no,yes,no,no,yes,yes,no,no,no
255,Ueno正和ビル,yes,yes,yes,no,no,yes,no,no,no,no
256,Sotetsu Fresa Inn Tokyo-Toyocho,yes,yes,yes,no,yes,yes,yes,Continental,no,no
257,APA Hotel Ningyocho-eki Kita,yes,no,yes,no,no,yes,yes,no,no,no
258,JR-East Hotel Mets Komagome,yes,no,yes,no,no,no,no,American,no,no
259,Hotel Route-Inn Grand Tokyo Asakusabashi,yes,no,yes,no,no,yes,yes,no,no,no
260,Toyoko Inn Tokyo Ikebukuro Kita guchi No 2,yes,no,yes,no,no,yes,yes,Buffet,no,no
261,Toyoko Inn Tokyo Uguisudani Ekimae,yes,no,yes,no,no,yes,yes,Buffet,no,no
262,nestay inn tokyo senju,yes,no,yes,no,no,yes,no,no,no,no
263,APA Hotel Ginza-Takaracho Tokyo Yaesu Minami-guchi,yes,no,yes,no,no,yes,yes,Buffet,no,no
264,Citadines Central Shinjuku Tokyo,yes,no,yes,no,no,yes,yes,no,no,no
265,Hotel Metropolitan Edmont Tokyo,yes,yes,yes,yes,yes,yes,yes,Buffet,no,no
266,Daiwa Roynet Hotel Tokyo Osaki,no,no,yes,no,no,yes,yes,Italian,no,no
267,Ginza Grand Hotel,yes,yes,yes,yes,no,yes,yes,American,no,no
268,Laluna Higashiikebukuro,no,no,no,no,no,yes,no,no,no,no
269,Ryokan Kamogawa Asakusa,yes,yes,yes,no,no,yes,yes,no,no,no
270,the b akasaka-mitsuke,yes,no,yes,no,no,yes,yes,Continental,no,no
271,Apartment Hotel Shinjuku,yes,no,yes,no,no,yes,no,no,no,no
272,APA Hotel Kodemmacho-ekimae,yes,no,yes,no,no,yes,yes,Italian,no,no
273,Hotel New Tohoku,yes,yes,yes,no,no,yes,no,no,no,no
274,Sakura Ryokan Asakusa Iriya,yes,yes,yes,no,no,yes,yes,no,no,no
275,Super Hotel Asakusa,yes,yes,yes,no,no,no,yes,Continental, Asian,no
276,安心お宿 秋葉原電気街店-男性専用,yes,no,yes,no,no,no,no,no,no,no
277,HOTEL MYSTAYS PREMIER Omori,yes,yes,yes,no,no,yes,yes,no,no,no
278,the b akasaka-mitsuke,yes,no,yes,no,no,yes,yes,Continental,no,no
279,Apartment Hotel Shinjuku,yes,no,yes,no,no,yes,no,no,no,no
280,APA Hotel Kodemmacho-ekimae,yes,no,yes,no,no,yes,yes,Italian,no,no
281,Hotel New Tohoku,yes,yes,yes,no,no,yes,no,no,no,no
282,Sakura Ryokan Asakusa Iriya,yes,yes,yes,no,no,yes,yes,no,no,no
283,Super Hotel Asakusa,yes,yes,yes,no,no,no,yes,Continental, Asian,no
284,安心お宿 秋葉原電気街店-男性専用,yes,no,yes,no,no,no,no,no,no,no
285,HOTEL MYSTAYS PREMIER Omori,yes,yes,yes,no,no,yes,yes,no,no,no
286,Hotel Wing International Shimbashi Onarimon,yes,no,yes,no,no,yes,yes,no,no,no
287,plat hostel keikyu asakusa karin,yes,yes,yes,no,no,yes,no,no,no,no
288,APA Hotel Higashi Shinjuku Kabukicho Tower,yes,no,yes,no,no,yes,yes,American,no,no
289,Super Hotel Tokyo Kameido,yes,no,yes,no,no,yes,yes,no,no,no
290,Hotel Amanek Kamata-Eki Mae,yes,no,yes,no,no,yes,yes,no,no,no
291,Bay Hotel Tokyo Hamamatsucho,yes,no,yes,no,no,yes,yes,no,no,no
