sno,Hotel_Name,city,location,number_of_reviews,user_ratings,Star_Rating,review_score
144,MONday Apart Hamamatsucho Daimon,Tokyo,"105-0012 Tokyo-to, Minato-ku Shibadaimon 1-10-4 , Japan",255,9.0,4,Superb
145,MONday Apart Ueno Shinokachimachi,Tokyo,"110-0015 Tokyo-to, Taito-ku Higashiueno 1-27-11, Japan",341,8.7,3,Fabulous
146,HOTEL VARKIN ANNEX,Tokyo,"170-0014 Tokyo-to, 1-2-2 豊島区池袋, Japan",535,8.4,4,Very good
147,Hotel K5,Tokyo,"103-0026 Tokyo-to, Chuo-Ku Nihonbashikabuto-Cho3-5, Japan",816,9.3,4,Superb
148,PROSTYLE RYOKAN TOKYO ASAKUSA,Tokyo,"111-0033 Tokyo-to, Taito-ku Hanakawado 2-12-11, Japan",1277,8.6,4,Fabulous
149,hotel MONday Premium Ueno Okachimachi,Tokyo,"110-0016 Tokyo-to, Taito-ku, Taito 3-41-7, Japan",1841,8.6,3,Fabulous
150,hotel MONday Akihabara Asakusabashi,Tokyo,"111-0053 Tokyo-to, Taito-ku Asakusabashi 2-29-12, Japan",758,8.5,3,Very good
151,Henn na Hotel Tokyo Asakusa Tawaramachi,Tokyo,"111-0042 Tokyo-to, Taito-ku Kotobuki 3-19-8, Japan",3054,8.6,3,Fabulous
152,La'gent Hotel Shinjuku Kabukicho,Tokyo,"160-0021 Tokyo-to, Shinjuku-ku, Kabuki-cho 2-40-5, Japan",1700,8.3,3,Very good
153,hotel MONday Tokyo Nishikasai,Tokyo,"134-0088 Tokyo-to, Edogawa-ku Nishikasai 6-8-7, Japan",2049,8.3,3,Very good
154,Hotel Resol Akihabara,Tokyo,"101-0041 Tokyo-to, Chiyoda-ku Kanda Sudacho 2-25, Japan",1612,8.5,4,Very good
155,Hotel Gracery Asakusa,Tokyo,"111-0034 Tokyo-to, Taito-ku Kaminarimon 2-10-2, Japan",1467,8.8,4,Fabulous
156,Hotel Musse Ginza Meitetsu,Tokyo,"104-0061 Tokyo-to, Chuo-ku Ginza 7-12-9, Japan",3022,8.5,2,Very good
157,The Millennials Shibuya,Tokyo,"150-0041 Tokyo-to, Shibuya-ku Jinnan 1-20-13, Japan",1275,8.6,3,Fabulous
158,Henn na Hotel Tokyo Ginza,Tokyo,"104-0045 Tokyo-to, Chuo-ku Tsukiji 2-2-1, Japan",1576,8.2,5,Very good
159,Keio Plaza Hotel Tokyo Premier Grand,Tokyo,"160-8330 Tokyo-to, Shinjuku-ku, Nishishinjuku 2-2-1, Japan",470,8.9,4,Fabulous
160,Candeo Hotels Tokyo Roppongi,Tokyo,"106-0032 Tokyo-to, Minato-ku Roppongi 6-7-11, Japan",2316,8.2,5,Very good
161,Grand Prince Hotel Takanawa Hanakohro,Tokyo,"108-8612 Tokyo-to, Minatoku 3-13-1, Japan",79,9.6,5,Exceptional
