sno,Hotel_Name,Room_type,Single_Bed,Double_bed,price
276,安心お宿 秋葉原電気街店-男性専用,VIP Male Only Capsule Room 2 Capsules,single bed,,8374
277,HOTEL MYSTAYS PREMIER Omori,Comfort Queen Room - Non-Smoking,single bed,double bed,6859
278,the b akasaka-mitsuke,Modern Superior Double Room - Non-Smoking,single bed,double bed,12282
279,Apartment Hotel Shinjuku,Double Room with Small Double Bed,single bed,double bed,6364
280,APA Hotel Kodemmacho-ekimae,Double Room - Smoking,single bed,double bed,6381
281,Hotel New Tohoku,Double Room with Small Double Bed - No Elevator,single bed,double bed,5527
282,Sakura Ryokan Asakusa Iriya,Japanese-Style Triple Room with Shared Toilet - Non-Smoking,single bed,double bed,6940
283,Super Hotel Asakusa,Double Room - Non-Smoking,single bed,double bed,7023
284,安心お宿 秋葉原電気街店-男性専用,VIP Male Only Capsule Room 2 Capsules,single bed,,8374
285,HOTEL MYSTAYS PREMIER Omori,Comfort Queen Room - Non-Smoking,single bed,double bed,6859
286,Hotel Wing International Shimbashi Onarimon,Small Double Room - Non Smoking,single bed,double bed,7637
287,plat hostel keikyu asakusa karin,Small Double Room with Shared Shower and Toilet,,double bed,5276
288,APA Hotel Higashi Shinjuku Kabukicho Tower,Double Room - Non-Smoking,single bed,double bed,10607
289,Super Hotel Tokyo Kameido,Double Room,,double bed,5806
290,Hotel Amanek Kamata-Eki Mae,Standard Twin Room,single bed,double bed,5644
291,Bay Hotel Tokyo Hamamatsucho,Twin Room - Non-Smoking,single bed,double bed,12282
292,ICI HOTEL Tokyo Hatchobori,Compact Twin Room,single bed,double bed,6903
293,Belmont Hotel,Standard Double Room with Small Double Bed - Smoking,single bed,,6141
294,Miyako City Tokyo Takanawa,Moderate King Room,single bed,double bed,14320
295,Pullman Tokyo Tamachi,Superior Twin Room,single bed,double bed,29171
296,Amanecer Hotel,Superior Double Room,,double bed,11166
297,Centurion Hotel Residential Akasaka Station,Standard Double Room - Non Smoking,single bed,double bed,9100
298,APA Hotel Akihabara-Ekimae,Double Room - Smoking,single bed,double bed,8542
299,Super Hotel Lohas Ikebukuro-Eki Kitaguchi,Double Room with Small Double Bed,single bed,double bed,6733
300,APA Hotel Ochanomizu-Ekikita,Double Room - Non-Smoking,single bed,double bed,7085
301,Hotel + Hostel TOKYO AKIHABARA,Quadruple Room with Private Bathroom,single bed,,13399
302,Mitsui Garden Hotel Jingugaien Tokyo Premier,Moderate (with balcony),single bed,double bed,20299
303,Ueno Hotel,Double Room - Non-Smoking,single bed,double bed,5806
304,HOTEL SUI KANDA by ABEST,Standard Double Room - Non-Smoking,single bed,double bed,7449
305,安心お宿 新橋駅前店-男性専用,Standard Two Capsule Rooms for Male,single bed,,7258
