Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
The Grand Uddhav,yes,"4953 Nehru Bazar, Paharganj, Paharganj, 110055 New Delhi, India","2,374 reviews",7.8,4 out of 5,Good,yes,yes,no,NA,no,yes,"Continental, Italian, Full English/Irish, Vegetarian, Halal, Asian, American",single bed,double bed,Deluxe Room,"₹ 5,000"
"The Hans, New Delhi",yes,"15 Barakhamba Road Connaught Place, 110001 New Delhi, India",344 reviews,6.2,3 out of 5,Pleasant,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Executive Room,"₹ 7,150"
FabHotel Prime Sage,yes,"4 Navjeevan Vihar, Malviya Nagar, 110017 New Delhi, India",807 reviews,6.5,3 out of 5,Pleasant,yes,yes,no,NA,yes,yes,"Continental, Vegetarian, Vegan",single bed,double bed,Deluxe Double Room,"₹ 3,225"
"Hotel TEJ Plaza By Tark , A Family Hotel Near IGI Airport Delhi",yes,"7 Mahipalpur - Rangpuri Road, 110037 New Delhi, India",306 reviews,7.4,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Italian, Full English/Irish, Vegan, Halal, Gluten-free, Asian, American",single bed,double bed,Deluxe Double Room,"₹ 1,188"
Hotel Earth,no,"A-392/1,Rd number 1,Block B,Mahipaplpur Extension, Mahipalpur, 110037 New Delhi, India","1,082 reviews",6.9,2 out of 5,Pleasant,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Deluxe Double Room,"₹ 1,303"
Airport Hotel The R Blues,yes,"A-79, National Highway No-8, Mahipalpur Extension, Near Indira Gandhi Domestic International Airport, Mahipalpur, 110037 New Delhi, India",59 reviews,7.8,3 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Buffet",NA,double bed,Economy Room,"₹ 2,675"
Antilia Villa,yes,"D-12 Kalindi Colony Maharani Bagh, New Friends Colony, 110065 New Delhi, India",10 reviews,6.7,3 out of 5,Pleasant,yes,no,no,Bar,yes,no,Vegetarian,single bed,double bed,Villa with Garden View,"₹ 5,025"
Flagship Hotel City Inn Dx,no,"Laddu Ghati, Sidarth Basti, Aram Bagh, Paharganj (near Delhi Railway Station), Delhi, Paharganj, 110055 New Delhi, India",8 reviews,2.5,3 out of 5,Very poor,yes,no,no,NA,no,no,NA,NA,double bed,Classic Triple Room,₹ 859
Hotel Home Stay Dwarka,yes,"Home Stay Dwarka (B&B)  Plot no. 17 sector 12A Dwarka New Delhi (opp Bal Bharti School). Tanish Regency  Plot no. 38 Sector 12A Dwarka New Delhi (behind Home stay Dwarka), Dwarka, 110078 New Delhi, India",39 reviews,6.8,3 out of 5,Pleasant,yes,yes,no,NA,yes,yes,NA,NA,double bed,Deluxe Triple Room,"₹ 2,660"
"Vivanta New Delhi, Dwarka",yes,"Metro Station Complex, Sector - 21, Dwarka, 110075 New Delhi, India","2,895 reviews",8.1,3 out of 5,Very good,no,yes,yes,Bar,yes,yes,"Continental, Vegetarian, American",single bed,double bed,Deluxe Room City View King Bed,"₹ 9,180"
