Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Middle Park Hotel,yes,"102 Canterbury Road, Albert Park, 3206 Melbourne, Australia",722 reviews,8.1,4 out of 5,Very good,no,yes,no,Bar,yes,no,NA,NA,double bed,Deluxe Double Room,"₹ 11,605"
Essence Hotel Carlton,yes,"609 Swanston Street, Carlton, 3053 Melbourne, Australia",882 reviews,7.5,4 out of 5,Good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Double Standard,"₹ 7,151"
Adara Richmond,yes,"185 Lennox Street , Richmond, 3121 Melbourne, Australia","1,888 reviews",8.2,4.5 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,NA,double bed,Studio Apartment,"₹ 9,644"
voco Melbourne Central,yes,"374 Lonsdale, 3000 Melbourne, Australia","1,606 reviews",8.6,4 out of 5,Fabulous,no,yes,no,Bar,yes,yes,Full English/Irish,single bed,double bed,Standard Room,"₹ 14,948"
Punthill Apartment Hotel - Manhattan,yes,"57 Flinders Lane, 3000 Melbourne, Australia",808 reviews,7.5,3 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,One Bedroom Apartment - Stair Access,"₹ 10,662"
Brady Apartment Hotel Flinders Street,yes,"550 Flinders Street, 3000 Melbourne, Australia","2,281 reviews",8.3,5 out of 5,Very good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Studio Apartment,"₹ 10,126"
Clocktower Apartment Hotel,yes,"255 Drummond Street, Carlton, 3053 Melbourne, Australia",507 reviews,7.7,3 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Budget One-Bedroom Apartment,"₹ 11,787"
ibis Budget - Melbourne Airport,yes,"12 Caldwell Drive, Melbourne Airport, 3045 Melbourne, Australia","4,329 reviews",6.2,3 out of 5,Pleasant,no,yes,no,NA,yes,no,Continental,single bed,double bed,Twin Room with Bunk Bed,"₹ 13,073"
The Canvas Apartment Hotel,yes,"560 Flinders Street, 3000 Melbourne, Australia",770 reviews,7.9,4 out of 5,Good,no,yes,no,NA,yes,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 9,590"
Winston Apartments Docklands,yes,"883-889 Collins Street, Docklands, 3008 Melbourne, Australia","2,711 reviews",7.9,4 out of 5,Good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard two bedroom one bathroom with river/harbour view,"₹ 14,948"
